State , Action | Next State, Reward | Probability
[ 6 10], UP    | [ 6 10], 0 | 0.1
[ 6 10], UP    | [ 7 10], 0 | 0.1
[ 7 10], LEFT  | [ 6 10], 0 | 0.8
[ 7 10], LEFT  | [ 7  9], 0 | 0.1
[ 7 10], LEFT  | [ 7 10], 0 | 0.1
[ 7 10], RIGHT | [ 8 10], 0 | 0.8
[ 7 10], RIGHT | [ 7 10], 0 | 0.1
[ 7 10], RIGHT | [ 7  9], 0 | 0.1
[ 7 10], DOWN  | [ 7  9], 0 | 0.8
[ 7 10], DOWN  | [ 8 10], 0 | 0.1
[ 7 10], DOWN  | [ 6 10], 0 | 0.1
[ 7 10], UP    | [ 7 10], 0 | 0.8
[ 7 10], UP    | [ 6 10], 0 | 0.1
[ 7 10], UP    | [ 8 10], 0 | 0.1
[ 8 10], LEFT  | [ 7 10], 0 | 0.8
[ 8 10], LEFT  | [ 8  9], 0 | 0.1
[ 8 10], LEFT  | [ 8 10], 0 | 0.1
[ 8 10], RIGHT | [ 9 10], 0 | 0.8
[ 8 10], RIGHT | [ 8 10], 0 | 0.1
[ 8 10], RIGHT | [ 8  9], 0 | 0.1
[ 8 10], DOWN  | [ 8  9], 0 | 0.8
[ 8 10], DOWN  | [ 9 10], 0 | 0.1
[ 8 10], DOWN  | [ 7 10], 0 | 0.1
[ 8 10], UP    | [ 8 10], 0 | 0.8
[ 8 10], UP    | [ 7 10], 0 | 0.1
[ 8 10], UP    | [ 9 10], 0 | 0.1
[ 9 10], LEFT  | [ 8 10], 0 | 0.8
[ 9 10], LEFT  | [ 9  9], 0 | 0.1
[ 9 10], LEFT  | [ 9 10], 0 | 0.1
[ 9 10], RIGHT | [10 10], 0 | 0.8
[ 9 10], RIGHT | [ 9 10], 0 | 0.1
[ 9 10], RIGHT | [ 9  9], 0 | 0.1
[ 9 10], DOWN  | [ 9  9], 0 | 0.8
[ 9 10], DOWN  | [10 10], 0 | 0.1
[ 9 10], DOWN  | [ 8 10], 0 | 0.1
[ 9 10], UP    | [ 9 10], 0 | 0.8
[ 9 10], UP    | [ 8 10], 0 | 0.1
[ 9 10], UP    | [10 10], 0 | 0.1
[10 10], LEFT  | [ 0  0], 1 | 1
[10 10], RIGHT | [ 0  0], 1 | 1
[10 10], DOWN  | [ 0  0], 1 | 1
[10 10], UP    | [ 0  0], 1 | 1
[ 0  9], LEFT  | [ 0  9], 0 | 0.8
[ 0  9], LEFT  | [ 0  8], 0 | 0.1
[ 0  9], LEFT  | [ 0 10], 0 | 0.1
[ 0  9], RIGHT | [ 1  9], 0 | 0.8
[ 0  9], RIGHT | [ 0 10], 0 | 0.1
[ 0  9], RIGHT | [ 0  8], 0 | 0.1
[ 0  9], DOWN  | [ 0  8], 0 | 0.8
[ 0  9], DOWN  | [ 1  9], 0 | 0.1
[ 0  9], DOWN  | [ 0  9], 0 | 0.1
[ 0  9], UP    | [ 0 10], 0 | 0.8
[ 0  9], UP    | [ 0  9], 0 | 0.1
[ 0  9], UP    | [ 1  9], 0 | 0.1
[ 1  9], LEFT  | [ 0  9], 0 | 0.8
[ 1  9], LEFT  | [ 1  8], 0 | 0.1
[ 1  9], LEFT  | [ 1 10], 0 | 0.1
[ 1  9], RIGHT | [ 2  9], 0 | 0.8
[ 1  9], RIGHT | [ 1 10], 0 | 0.1
[ 1  9], RIGHT | [ 1  8], 0 | 0.1
[ 1  9], DOWN  | [ 1  8], 0 | 0.8
[ 1  9], DOWN  | [ 2  9], 0 | 0.1
[ 1  9], DOWN  | [ 0  9], 0 | 0.1
[ 1  9], UP    | [ 1 10], 0 | 0.8
[ 1  9], UP    | [ 0  9], 0 | 0.1
[ 1  9], UP    | [ 2  9], 0 | 0.1
[ 2  9], LEFT  | [ 1  9], 0 | 0.8
[ 2  9], LEFT  | [ 2  8], 0 | 0.1
[ 2  9], LEFT  | [ 2 10], 0 | 0.1
[ 2  9], RIGHT | [ 3  9], 0 | 0.8
[ 2  9], RIGHT | [ 2 10], 0 | 0.1
[ 2  9], RIGHT | [ 2  8], 0 | 0.1
[ 2  9], DOWN  | [ 2  8], 0 | 0.8
[ 2  9], DOWN  | [ 3  9], 0 | 0.1
[ 2  9], DOWN  | [ 1  9], 0 | 0.1
[ 2  9], UP    | [ 2 10], 0 | 0.8
[ 2  9], UP    | [ 1  9], 0 | 0.1
[ 2  9], UP    | [ 3  9], 0 | 0.1
[ 3  9], LEFT  | [ 2  9], 0 | 0.8
[ 3  9], LEFT  | [ 3  8], 0 | 0.1
[ 3  9], LEFT  | [ 3 10], 0 | 0.1
[ 3  9], RIGHT | [ 4  9], 0 | 0.8
[ 3  9], RIGHT | [ 3 10], 0 | 0.1
[ 3  9], RIGHT | [ 3  8], 0 | 0.1
[ 3  9], DOWN  | [ 3  8], 0 | 0.8
[ 3  9], DOWN  | [ 4  9], 0 | 0.1
[ 3  9], DOWN  | [ 2  9], 0 | 0.1
[ 3  9], UP    | [ 3 10], 0 | 0.8
[ 3  9], UP    | [ 2  9], 0 | 0.1
[ 3  9], UP    | [ 4  9], 0 | 0.1
[ 4  9], LEFT  | [ 3  9], 0 | 0.8
[ 4  9], LEFT  | [ 4  8], 0 | 0.1
[ 4  9], LEFT  | [ 4 10], 0 | 0.1
[ 4  9], RIGHT | [ 4  9], 0 | 0.8
[ 4  9], RIGHT | [ 4 10], 0 | 0.1
[ 4  9], RIGHT | [ 4  8], 0 | 0.1
[ 4  9], DOWN  | [ 4  8], 0 | 0.8
[ 4  9], DOWN  | [ 4  9], 0 | 0.1
[ 4  9], DOWN  | [ 3  9], 0 | 0.1
[ 4  9], UP    | [ 4 10], 0 | 0.8
[ 4  9], UP    | [ 3  9], 0 | 0.1
[ 4  9], UP    | [ 4  9], 0 | 0.1
[ 6  9], LEFT  | [ 6  9], 0 | 0.8
[ 6  9], LEFT  | [ 6  8], 0 | 0.1
[ 6  9], LEFT  | [ 6 10], 0 | 0.1
[ 6  9], RIGHT | [ 7  9], 0 | 0.8
[ 6  9], RIGHT | [ 6 10], 0 | 0.1
[ 6  9], RIGHT | [ 6  8], 0 | 0.1
[ 6  9], DOWN  | [ 6  8], 0 | 0.8
[ 6  9], DOWN  | [ 7  9], 0 | 0.1
[ 6  9], DOWN  | [ 6  9], 0 | 0.1
[ 6  9], UP    | [ 6 10], 0 | 0.8
[ 6  9], UP    | [ 6  9], 0 | 0.1
[ 6  9], UP    | [ 7  9], 0 | 0.1
[ 7  9], LEFT  | [ 6  9], 0 | 0.8
[ 7  9], LEFT  | [ 7  8], 0 | 0.1
[ 7  9], LEFT  | [ 7 10], 0 | 0.1
[ 7  9], RIGHT | [ 8  9], 0 | 0.8
[ 7  9], RIGHT | [ 7 10], 0 | 0.1
[ 7  9], RIGHT | [ 7  8], 0 | 0.1
[ 7  9], DOWN  | [ 7  8], 0 | 0.8
[ 7  9], DOWN  | [ 8  9], 0 | 0.1
[ 7  9], DOWN  | [ 6  9], 0 | 0.1
[ 7  9], UP    | [ 7 10], 0 | 0.8
[ 7  9], UP    | [ 6  9], 0 | 0.1
[ 7  9], UP    | [ 8  9], 0 | 0.1
[ 8  9], LEFT  | [ 7  9], 0 | 0.8
[ 8  9], LEFT  | [ 8  8], 0 | 0.1
[ 8  9], LEFT  | [ 8 10], 0 | 0.1
[ 8  9], RIGHT | [ 9  9], 0 | 0.8
[ 8  9], RIGHT | [ 8 10], 0 | 0.1
[ 8  9], RIGHT | [ 8  8], 0 | 0.1
[ 8  9], DOWN  | [ 8  8], 0 | 0.8
[ 8  9], DOWN  | [ 9  9], 0 | 0.1
[ 8  9], DOWN  | [ 7  9], 0 | 0.1
[ 8  9], UP    | [ 8 10], 0 | 0.8
[ 8  9], UP    | [ 7  9], 0 | 0.1
[ 8  9], UP    | [ 9  9], 0 | 0.1
[ 9  9], LEFT  | [ 8  9], 0 | 0.8
[ 9  9], LEFT  | [ 9  8], 0 | 0.1
[ 9  9], LEFT  | [ 9 10], 0 | 0.1
[ 9  9], RIGHT | [10  9], 0 | 0.8
[ 9  9], RIGHT | [ 9 10], 0 | 0.1
[ 9  9], RIGHT | [ 9  8], 0 | 0.1
[ 9  9], DOWN  | [ 9  8], 0 | 0.8
[ 9  9], DOWN  | [10  9], 0 | 0.1
[ 9  9], DOWN  | [ 8  9], 0 | 0.1
[ 9  9], UP    | [ 9 10], 0 | 0.8
[ 9  9], UP    | [ 8  9], 0 | 0.1
[ 9  9], UP    | [10  9], 0 | 0.1
[10  9], LEFT  | [ 9  9], 0 | 0.8
[10  9], LEFT  | [10  8], 0 | 0.1
[10  9], LEFT  | [10 10], 0 | 0.1
[10  9], RIGHT | [10  9], 0 | 0.8
[10  9], RIGHT | [10 10], 0 | 0.1
[10  9], RIGHT | [10  8], 0 | 0.1
[10  9], DOWN  | [10  8], 0 | 0.8
[10  9], DOWN  | [10  9], 0 | 0.1
[10  9], DOWN  | [ 9  9], 0 | 0.1
[10  9], UP    | [10 10], 0 | 0.8
[10  9], UP    | [ 9  9], 0 | 0.1
[10  9], UP    | [10  9], 0 | 0.1
[ 0  8], LEFT  | [ 0  8], 0 | 0.8
[ 0  8], LEFT  | [ 0  7], 0 | 0.1
[ 0  8], LEFT  | [ 0  9], 0 | 0.1
[ 0  8], RIGHT | [ 1  8], 0 | 0.8
[ 0  8], RIGHT | [ 0  9], 0 | 0.1
[ 0  8], RIGHT | [ 0  7], 0 | 0.1
[ 0  8], DOWN  | [ 0  7], 0 | 0.8
[ 0  8], DOWN  | [ 1  8], 0 | 0.1
[ 0  8], DOWN  | [ 0  8], 0 | 0.1
[ 0  8], UP    | [ 0  9], 0 | 0.8
[ 0  8], UP    | [ 0  8], 0 | 0.1
[ 0  8], UP    | [ 1  8], 0 | 0.1
[ 1  8], LEFT  | [ 0  8], 0 | 0.8
[ 1  8], LEFT  | [ 1  7], 0 | 0.1
[ 1  8], LEFT  | [ 1  9], 0 | 0.1
[ 1  8], RIGHT | [ 2  8], 0 | 0.8
[ 1  8], RIGHT | [ 1  9], 0 | 0.1
[ 1  8], RIGHT | [ 1  7], 0 | 0.1
[ 1  8], DOWN  | [ 1  7], 0 | 0.8
[ 1  8], DOWN  | [ 2  8], 0 | 0.1
[ 1  8], DOWN  | [ 0  8], 0 | 0.1
[ 1  8], UP    | [ 1  9], 0 | 0.8
[ 1  8], UP    | [ 0  8], 0 | 0.1
[ 1  8], UP    | [ 2  8], 0 | 0.1
[ 2  8], LEFT  | [ 1  8], 0 | 0.8
[ 2  8], LEFT  | [ 2  7], 0 | 0.1
[ 2  8], LEFT  | [ 2  9], 0 | 0.1
[ 2  8], RIGHT | [ 3  8], 0 | 0.8
[ 2  8], RIGHT | [ 2  9], 0 | 0.1
[ 2  8], RIGHT | [ 2  7], 0 | 0.1
[ 2  8], DOWN  | [ 2  7], 0 | 0.8
[ 2  8], DOWN  | [ 3  8], 0 | 0.1
[ 2  8], DOWN  | [ 1  8], 0 | 0.1
[ 2  8], UP    | [ 2  9], 0 | 0.8
[ 2  8], UP    | [ 1  8], 0 | 0.1
[ 2  8], UP    | [ 3  8], 0 | 0.1
[ 3  8], LEFT  | [ 2  8], 0 | 0.8
[ 3  8], LEFT  | [ 3  7], 0 | 0.1
[ 3  8], LEFT  | [ 3  9], 0 | 0.1
[ 3  8], RIGHT | [ 4  8], 0 | 0.8
[ 3  8], RIGHT | [ 3  9], 0 | 0.1
[ 3  8], RIGHT | [ 3  7], 0 | 0.1
[ 3  8], DOWN  | [ 3  7], 0 | 0.8
[ 3  8], DOWN  | [ 4  8], 0 | 0.1
[ 3  8], DOWN  | [ 2  8], 0 | 0.1
[ 3  8], UP    | [ 3  9], 0 | 0.8
[ 3  8], UP    | [ 2  8], 0 | 0.1
[ 3  8], UP    | [ 4  8], 0 | 0.1
[ 4  8], LEFT  | [ 3  8], 0 | 0.8
[ 4  8], LEFT  | [ 4  7], 0 | 0.1
[ 4  8], LEFT  | [ 4  9], 0 | 0.1
[ 4  8], RIGHT | [ 5  8], 0 | 0.8
[ 4  8], RIGHT | [ 4  9], 0 | 0.1
[ 4  8], RIGHT | [ 4  7], 0 | 0.1
[ 4  8], DOWN  | [ 4  7], 0 | 0.8
[ 4  8], DOWN  | [ 5  8], 0 | 0.1
[ 4  8], DOWN  | [ 3  8], 0 | 0.1
[ 4  8], UP    | [ 4  9], 0 | 0.8
[ 4  8], UP    | [ 3  8], 0 | 0.1
[ 4  8], UP    | [ 5  8], 0 | 0.1
[ 5  8], LEFT  | [ 4  8], 0 | 0.8
[ 5  8], LEFT  | [ 5  8], 0 | 0.1
[ 5  8], LEFT  | [ 5  8], 0 | 0.1
[ 5  8], RIGHT | [ 6  8], 0 | 0.8
[ 5  8], RIGHT | [ 5  8], 0 | 0.1
[ 5  8], RIGHT | [ 5  8], 0 | 0.1
[ 5  8], DOWN  | [ 5  8], 0 | 0.8
[ 5  8], DOWN  | [ 6  8], 0 | 0.1
[ 5  8], DOWN  | [ 4  8], 0 | 0.1
[ 5  8], UP    | [ 5  8], 0 | 0.8
[ 5  8], UP    | [ 4  8], 0 | 0.1
[ 5  8], UP    | [ 6  8], 0 | 0.1
[ 6  8], LEFT  | [ 5  8], 0 | 0.8
[ 6  8], LEFT  | [ 6  7], 0 | 0.1
[ 6  8], LEFT  | [ 6  9], 0 | 0.1
[ 6  8], RIGHT | [ 7  8], 0 | 0.8
[ 6  8], RIGHT | [ 6  9], 0 | 0.1
[ 6  8], RIGHT | [ 6  7], 0 | 0.1
[ 6  8], DOWN  | [ 6  7], 0 | 0.8
[ 6  8], DOWN  | [ 7  8], 0 | 0.1
[ 6  8], DOWN  | [ 5  8], 0 | 0.1
[ 6  8], UP    | [ 6  9], 0 | 0.8
[ 6  8], UP    | [ 5  8], 0 | 0.1
[ 6  8], UP    | [ 7  8], 0 | 0.1
[ 7  8], LEFT  | [ 6  8], 0 | 0.8
[ 7  8], LEFT  | [ 7  7], 0 | 0.1
[ 7  8], LEFT  | [ 7  9], 0 | 0.1
[ 7  8], RIGHT | [ 8  8], 0 | 0.8
[ 7  8], RIGHT | [ 7  9], 0 | 0.1
[ 7  8], RIGHT | [ 7  7], 0 | 0.1
[ 7  8], DOWN  | [ 7  7], 0 | 0.8
[ 7  8], DOWN  | [ 8  8], 0 | 0.1
[ 7  8], DOWN  | [ 6  8], 0 | 0.1
[ 7  8], UP    | [ 7  9], 0 | 0.8
[ 7  8], UP    | [ 6  8], 0 | 0.1
[ 7  8], UP    | [ 8  8], 0 | 0.1
[ 8  8], LEFT  | [ 7  8], 0 | 0.8
[ 8  8], LEFT  | [ 8  7], 0 | 0.1
[ 8  8], LEFT  | [ 8  9], 0 | 0.1
[ 8  8], RIGHT | [ 9  8], 0 | 0.8
[ 8  8], RIGHT | [ 8  9], 0 | 0.1
[ 8  8], RIGHT | [ 8  7], 0 | 0.1
[ 8  8], DOWN  | [ 8  7], 0 | 0.8
[ 8  8], DOWN  | [ 9  8], 0 | 0.1
[ 8  8], DOWN  | [ 7  8], 0 | 0.1
[ 8  8], UP    | [ 8  9], 0 | 0.8
[ 8  8], UP    | [ 7  8], 0 | 0.1
[ 8  8], UP    | [ 9  8], 0 | 0.1
[ 9  8], LEFT  | [ 8  8], 0 | 0.8
[ 9  8], LEFT  | [ 9  7], 0 | 0.1
[ 9  8], LEFT  | [ 9  9], 0 | 0.1
[ 9  8], RIGHT | [10  8], 0 | 0.8
[ 9  8], RIGHT | [ 9  9], 0 | 0.1
[ 9  8], RIGHT | [ 9  7], 0 | 0.1
[ 9  8], DOWN  | [ 9  7], 0 | 0.8
[ 9  8], DOWN  | [10  8], 0 | 0.1
[ 9  8], DOWN  | [ 8  8], 0 | 0.1
[ 9  8], UP    | [ 9  9], 0 | 0.8
[ 9  8], UP    | [ 8  8], 0 | 0.1
[ 9  8], UP    | [10  8], 0 | 0.1
[10  8], LEFT  | [ 9  8], 0 | 0.8
[10  8], LEFT  | [10  7], 0 | 0.1
[10  8], LEFT  | [10  9], 0 | 0.1
[10  8], RIGHT | [10  8], 0 | 0.8
[10  8], RIGHT | [10  9], 0 | 0.1
[10  8], RIGHT | [10  7], 0 | 0.1
[10  8], DOWN  | [10  7], 0 | 0.8
[10  8], DOWN  | [10  8], 0 | 0.1
[10  8], DOWN  | [ 9  8], 0 | 0.1
[10  8], UP    | [10  9], 0 | 0.8
[10  8], UP    | [ 9  8], 0 | 0.1
[10  8], UP    | [10  8], 0 | 0.1
[ 0  7], LEFT  | [ 0  7], 0 | 0.8
[ 0  7], LEFT  | [ 0  6], 0 | 0.1
[ 0  7], LEFT  | [ 0  8], 0 | 0.1
[ 0  7], RIGHT | [ 1  7], 0 | 0.8
[ 0  7], RIGHT | [ 0  8], 0 | 0.1
[ 0  7], RIGHT | [ 0  6], 0 | 0.1
[ 0  7], DOWN  | [ 0  6], 0 | 0.8
[ 0  7], DOWN  | [ 1  7], 0 | 0.1
[ 0  7], DOWN  | [ 0  7], 0 | 0.1
[ 0  7], UP    | [ 0  8], 0 | 0.8
[ 0  7], UP    | [ 0  7], 0 | 0.1
[ 0  7], UP    | [ 1  7], 0 | 0.1
[ 1  7], LEFT  | [ 0  7], 0 | 0.8
[ 1  7], LEFT  | [ 1  6], 0 | 0.1
[ 1  7], LEFT  | [ 1  8], 0 | 0.1
[ 1  7], RIGHT | [ 2  7], 0 | 0.8
[ 1  7], RIGHT | [ 1  8], 0 | 0.1
[ 1  7], RIGHT | [ 1  6], 0 | 0.1
[ 1  7], DOWN  | [ 1  6], 0 | 0.8
[ 1  7], DOWN  | [ 2  7], 0 | 0.1
[ 1  7], DOWN  | [ 0  7], 0 | 0.1
[ 1  7], UP    | [ 1  8], 0 | 0.8
[ 1  7], UP    | [ 0  7], 0 | 0.1
[ 1  7], UP    | [ 2  7], 0 | 0.1
[ 2  7], LEFT  | [ 1  7], 0 | 0.8
[ 2  7], LEFT  | [ 2  6], 0 | 0.1
[ 2  7], LEFT  | [ 2  8], 0 | 0.1
[ 2  7], RIGHT | [ 3  7], 0 | 0.8
[ 2  7], RIGHT | [ 2  8], 0 | 0.1
[ 2  7], RIGHT | [ 2  6], 0 | 0.1
[ 2  7], DOWN  | [ 2  6], 0 | 0.8
[ 2  7], DOWN  | [ 3  7], 0 | 0.1
[ 2  7], DOWN  | [ 1  7], 0 | 0.1
[ 2  7], UP    | [ 2  8], 0 | 0.8
[ 2  7], UP    | [ 1  7], 0 | 0.1
[ 2  7], UP    | [ 3  7], 0 | 0.1
[ 3  7], LEFT  | [ 2  7], 0 | 0.8
[ 3  7], LEFT  | [ 3  6], 0 | 0.1
[ 3  7], LEFT  | [ 3  8], 0 | 0.1
[ 3  7], RIGHT | [ 4  7], 0 | 0.8
[ 3  7], RIGHT | [ 3  8], 0 | 0.1
[ 3  7], RIGHT | [ 3  6], 0 | 0.1
[ 3  7], DOWN  | [ 3  6], 0 | 0.8
[ 3  7], DOWN  | [ 4  7], 0 | 0.1
[ 3  7], DOWN  | [ 2  7], 0 | 0.1
[ 3  7], UP    | [ 3  8], 0 | 0.8
[ 3  7], UP    | [ 2  7], 0 | 0.1
[ 3  7], UP    | [ 4  7], 0 | 0.1
[ 4  7], LEFT  | [ 3  7], 0 | 0.8
[ 4  7], LEFT  | [ 4  6], 0 | 0.1
[ 4  7], LEFT  | [ 4  8], 0 | 0.1
[ 4  7], RIGHT | [ 4  7], 0 | 0.8
[ 4  7], RIGHT | [ 4  8], 0 | 0.1
[ 4  7], RIGHT | [ 4  6], 0 | 0.1
[ 4  7], DOWN  | [ 4  6], 0 | 0.8
[ 4  7], DOWN  | [ 4  7], 0 | 0.1
[ 4  7], DOWN  | [ 3  7], 0 | 0.1
[ 4  7], UP    | [ 4  8], 0 | 0.8
[ 4  7], UP    | [ 3  7], 0 | 0.1
[ 4  7], UP    | [ 4  7], 0 | 0.1
[ 6  7], LEFT  | [ 6  7], 0 | 0.8
[ 6  7], LEFT  | [ 6  6], 0 | 0.1
[ 6  7], LEFT  | [ 6  8], 0 | 0.1
[ 6  7], RIGHT | [ 7  7], 0 | 0.8
[ 6  7], RIGHT | [ 6  8], 0 | 0.1
[ 6  7], RIGHT | [ 6  6], 0 | 0.1
[ 6  7], DOWN  | [ 6  6], 0 | 0.8
[ 6  7], DOWN  | [ 7  7], 0 | 0.1
[ 6  7], DOWN  | [ 6  7], 0 | 0.1
[ 6  7], UP    | [ 6  8], 0 | 0.8
[ 6  7], UP    | [ 6  7], 0 | 0.1
[ 6  7], UP    | [ 7  7], 0 | 0.1
[ 7  7], LEFT  | [ 6  7], 0 | 0.8
[ 7  7], LEFT  | [ 7  6], 0 | 0.1
[ 7  7], LEFT  | [ 7  8], 0 | 0.1
[ 7  7], RIGHT | [ 8  7], 0 | 0.8
[ 7  7], RIGHT | [ 7  8], 0 | 0.1
[ 7  7], RIGHT | [ 7  6], 0 | 0.1
[ 7  7], DOWN  | [ 7  6], 0 | 0.8
[ 7  7], DOWN  | [ 8  7], 0 | 0.1
[ 7  7], DOWN  | [ 6  7], 0 | 0.1
[ 7  7], UP    | [ 7  8], 0 | 0.8
[ 7  7], UP    | [ 6  7], 0 | 0.1
[ 7  7], UP    | [ 8  7], 0 | 0.1
[ 8  7], LEFT  | [ 7  7], 0 | 0.8
[ 8  7], LEFT  | [ 8  6], 0 | 0.1
[ 8  7], LEFT  | [ 8  8], 0 | 0.1
[ 8  7], RIGHT | [ 9  7], 0 | 0.8
[ 8  7], RIGHT | [ 8  8], 0 | 0.1
[ 8  7], RIGHT | [ 8  6], 0 | 0.1
[ 8  7], DOWN  | [ 8  6], 0 | 0.8
[ 8  7], DOWN  | [ 9  7], 0 | 0.1
[ 8  7], DOWN  | [ 7  7], 0 | 0.1
[ 8  7], UP    | [ 8  8], 0 | 0.8
[ 8  7], UP    | [ 7  7], 0 | 0.1
[ 8  7], UP    | [ 9  7], 0 | 0.1
[ 9  7], LEFT  | [ 8  7], 0 | 0.8
[ 9  7], LEFT  | [ 9  6], 0 | 0.1
[ 9  7], LEFT  | [ 9  8], 0 | 0.1
[ 9  7], RIGHT | [10  7], 0 | 0.8
[ 9  7], RIGHT | [ 9  8], 0 | 0.1
[ 9  7], RIGHT | [ 9  6], 0 | 0.1
[ 9  7], DOWN  | [ 9  6], 0 | 0.8
[ 9  7], DOWN  | [10  7], 0 | 0.1
[ 9  7], DOWN  | [ 8  7], 0 | 0.1
[ 9  7], UP    | [ 9  8], 0 | 0.8
[ 9  7], UP    | [ 8  7], 0 | 0.1
[ 9  7], UP    | [10  7], 0 | 0.1
[10  7], LEFT  | [ 9  7], 0 | 0.8
[10  7], LEFT  | [10  6], 0 | 0.1
[10  7], LEFT  | [10  8], 0 | 0.1
[10  7], RIGHT | [10  7], 0 | 0.8
[10  7], RIGHT | [10  8], 0 | 0.1
[10  7], RIGHT | [10  6], 0 | 0.1
[10  7], DOWN  | [10  6], 0 | 0.8
[10  7], DOWN  | [10  7], 0 | 0.1
[10  7], DOWN  | [ 9  7], 0 | 0.1
[10  7], UP    | [10  8], 0 | 0.8
[10  7], UP    | [ 9  7], 0 | 0.1
[10  7], UP    | [10  7], 0 | 0.1
[ 0  6], LEFT  | [ 0  6], 0 | 0.8
[ 0  6], LEFT  | [ 0  6], 0 | 0.1
[ 0  6], LEFT  | [ 0  7], 0 | 0.1
[ 0  6], RIGHT | [ 1  6], 0 | 0.8
[ 0  6], RIGHT | [ 0  7], 0 | 0.1
[ 0  6], RIGHT | [ 0  6], 0 | 0.1
[ 0  6], DOWN  | [ 0  6], 0 | 0.8
[ 0  6], DOWN  | [ 1  6], 0 | 0.1
[ 0  6], DOWN  | [ 0  6], 0 | 0.1
[ 0  6], UP    | [ 0  7], 0 | 0.8
[ 0  6], UP    | [ 0  6], 0 | 0.1
